model_seed,method,source_index,scale,nominal_change,functional_change,prediction_preserved
2,r0_mlp,9443,0.1,0.003058607457205653,2.9895439013216674e-08,1
2,r0_mlp,2261,0.1,0.005750919226557016,2.398976484130344e-08,1
2,r0_mlp,3557,0.1,0.0035977051593363285,1.9715598043035243e-08,1
2,r0_mlp,8536,0.1,0.002579584252089262,2.3089526735020627e-08,1
2,r0_mlp,9221,0.1,0.005538271740078926,6.096360749552332e-08,1
2,r0_mlp,1611,0.1,0.007781566120684147,7.809958901816572e-08,1
2,r0_mlp,7515,0.1,0.007729538716375828,6.537605656831147e-08,1
2,r0_mlp,6955,0.1,0.005081431474536657,3.7323026447211305e-08,1
2,r0_mlp,6687,0.1,0.006073221564292908,1.0617878132279657e-07,1
2,r0_mlp,9435,0.1,0.005763773340731859,2.991545144936936e-08,1
2,r0_mlp,5705,0.1,0.008731001988053322,1.1769715513310075e-07,1
2,r0_mlp,7842,0.1,0.010569911450147629,1.6970789147308096e-06,1
2,r0_mlp,7666,0.1,0.004548370372503996,7.482326225272118e-08,1
2,r0_mlp,1321,0.1,0.006794870365411043,4.6146588772444375e-08,1
2,r0_mlp,3281,0.1,0.007463028188794851,6.631688620473142e-08,1
2,r0_mlp,5843,0.1,0.007218488026410341,5.377400214001682e-08,1
2,r0_mlp,1544,0.1,0.011026693508028984,3.590703272493556e-07,1
2,r0_mlp,1476,0.1,0.007767044473439455,3.103899643974728e-07,1
2,r0_mlp,1552,0.1,0.002935506636276841,1.6008211645157644e-08,1
2,r0_mlp,2777,0.1,0.0026149763725697994,1.7356633463805338e-08,1
2,r0_mlp,1240,0.1,0.003665876341983676,2.0264719680085364e-08,1
2,r0_mlp,6482,0.1,0.008757535368204117,6.88178900531966e-08,1
2,r0_mlp,8698,0.1,0.004485202021896839,8.23698869112377e-08,1
2,r0_mlp,6248,0.1,0.004002845846116543,2.2348549677531082e-08,1
2,r0_mlp,4323,0.1,0.005784501787275076,1.347223701486655e-07,1
2,r0_mlp,4597,0.1,0.0053192912600934505,8.819264252224457e-08,1
2,r0_mlp,9046,0.1,0.007289660628885031,2.5173338258355216e-07,1
2,r0_mlp,5389,0.1,0.005179342348128557,1.2265672921785153e-07,1
2,r0_mlp,5710,0.1,0.010416606441140175,4.632810259863618e-07,1
2,r0_mlp,7103,0.1,0.011487921699881554,4.293591757686954e-07,1
2,r0_mlp,7263,0.1,0.004319197032600641,1.9056226818747746e-08,1
2,r0_mlp,5244,0.1,0.006277687381953001,7.992702677483976e-08,1
2,r0_mlp,5242,0.1,0.005507946480065584,1.284959267877639e-07,1
