model_seed,method,angle,host,mean_route_mass,host_specialization
1,r1_linear,45.0,0,0.2675357460975647,0.002709805965423584
1,r1_linear,45.0,1,0.32111698389053345,0.0009627342224121094
1,r1_linear,45.0,2,0.19234085083007812,0.0018124580383300781
1,r1_linear,45.0,3,0.21900638937950134,0.0019837021827697754
1,r1_linear,60.0,0,0.271475225687027,0.002709805965423584
1,r1_linear,60.0,1,0.315970242023468,0.0009627342224121094
1,r1_linear,60.0,2,0.1940341293811798,0.0018124580383300781
1,r1_linear,60.0,3,0.21852043271064758,0.0019837021827697754
1,r1_linear,75.0,0,0.26018375158309937,0.002709805965423584
1,r1_linear,75.0,1,0.31075993180274963,0.0009627342224121094
1,r1_linear,75.0,2,0.2009437084197998,0.0018124580383300781
1,r1_linear,75.0,3,0.2281125783920288,0.0019837021827697754
1,r2_prototype_energy,-75.0,0,0.09974697977304459,0.06742358207702637
1,r2_prototype_energy,-75.0,1,0.10755382478237152,0.03559601306915283
1,r2_prototype_energy,-75.0,2,0.2037181556224823,0.03888636827468872
1,r2_prototype_energy,-75.0,3,0.588981032371521,0.0517655611038208
1,r2_prototype_energy,-60.0,0,0.055869899690151215,0.06742358207702637
1,r2_prototype_energy,-60.0,1,0.13517427444458008,0.03559601306915283
1,r2_prototype_energy,-60.0,2,0.2946574091911316,0.03888636827468872
1,r2_prototype_energy,-60.0,3,0.5142983794212341,0.0517655611038208
1,r2_prototype_energy,-45.0,0,0.08198248594999313,0.06742358207702637
1,r2_prototype_energy,-45.0,1,0.2067413330078125,0.03559601306915283
1,r2_prototype_energy,-45.0,2,0.36698514223098755,0.03888636827468872
1,r2_prototype_energy,-45.0,3,0.3442910611629486,0.0517655611038208
1,r2_prototype_energy,-30.0,0,0.1432039439678192,0.06742358207702637
1,r2_prototype_energy,-30.0,1,0.30212515592575073,0.03559601306915283
1,r2_prototype_energy,-30.0,2,0.3610178828239441,0.03888636827468872
1,r2_prototype_energy,-30.0,3,0.19365301728248596,0.0517655611038208
1,r2_prototype_energy,-15.0,0,0.21831853687763214,0.06742358207702637
1,r2_prototype_energy,-15.0,1,0.3542194962501526,0.03559601306915283
1,r2_prototype_energy,-15.0,2,0.2882002294063568,0.03888636827468872
1,r2_prototype_energy,-15.0,3,0.13926179707050323,0.0517655611038208
1,r2_prototype_energy,0.0,0,0.29673463106155396,0.06742358207702637
1,r2_prototype_energy,0.0,1,0.359125554561615,0.03559601306915283
1,r2_prototype_energy,0.0,2,0.20946165919303894,0.03888636827468872
1,r2_prototype_energy,0.0,3,0.13467814028263092,0.0517655611038208
1,r2_prototype_energy,15.0,0,0.36056357622146606,0.06742358207702637
1,r2_prototype_energy,15.0,1,0.32485443353652954,0.03559601306915283
1,r2_prototype_energy,15.0,2,0.17096230387687683,0.03888636827468872
1,r2_prototype_energy,15.0,3,0.14361973106861115,0.0517655611038208
1,r2_prototype_energy,30.0,0,0.41451483964920044,0.06742358207702637
1,r2_prototype_energy,30.0,1,0.25580206513404846,0.03559601306915283
1,r2_prototype_energy,30.0,2,0.13844838738441467,0.03888636827468872
1,r2_prototype_energy,30.0,3,0.19123467803001404,0.0517655611038208
1,r2_prototype_energy,45.0,0,0.45364370942115784,0.06742358207702637
1,r2_prototype_energy,45.0,1,0.1640356034040451,0.03559601306915283
1,r2_prototype_energy,45.0,2,0.11335824429988861,0.03888636827468872
