model_seed,metric,angle_a,angle_b,factor_gap,category,distance
1,centroid,-30.0,0.0,30.0,near,0.4466191306950794
1,centroid,-30.0,15.0,45.0,mid,0.585628253009488
1,centroid,-30.0,30.0,60.0,mid,0.7220486068243047
1,centroid,-30.0,45.0,75.0,mid,0.8552008733199656
1,centroid,-30.0,60.0,90.0,far,0.9081224103584729
1,centroid,-30.0,75.0,105.0,far,0.8605616331986019
1,centroid,-15.0,0.0,15.0,near,0.2118570168759231
1,centroid,-15.0,15.0,30.0,near,0.36986960247337913
1,centroid,-15.0,30.0,45.0,mid,0.5448383650097599
1,centroid,-15.0,45.0,60.0,mid,0.752983020874476
1,centroid,-15.0,60.0,75.0,mid,0.8721879788540161
1,centroid,-15.0,75.0,90.0,far,0.880688702761395
1,centroid,0.0,15.0,15.0,near,0.17117092679523968
1,centroid,0.0,30.0,30.0,near,0.37430127035602545
1,centroid,0.0,45.0,45.0,mid,0.6383881121612395
1,centroid,0.0,60.0,60.0,mid,0.7989612693716336
1,centroid,0.0,75.0,75.0,mid,0.850258175203114
1,centroid,15.0,30.0,15.0,near,0.21439016495960259
1,centroid,15.0,45.0,30.0,near,0.5093335595017169
1,centroid,15.0,60.0,45.0,mid,0.7017610882229856
1,centroid,15.0,75.0,60.0,mid,0.7911732483180849
1,centroid,30.0,45.0,15.0,near,0.316090810922806
1,centroid,30.0,60.0,30.0,near,0.5398010821395433
1,centroid,30.0,75.0,45.0,mid,0.6725663699510559
1,centroid,45.0,60.0,15.0,near,0.2661211042163637
1,centroid,45.0,75.0,30.0,near,0.45872993500404824
1,centroid,60.0,75.0,15.0,near,0.22728362730428475
1,log_euclidean,-75.0,-60.0,15.0,near,0.43625465545632686
1,log_euclidean,-75.0,-45.0,30.0,near,0.6082032493228973
1,log_euclidean,-75.0,-30.0,45.0,mid,0.6804083239120854
1,log_euclidean,-75.0,-15.0,60.0,mid,0.7600484032857983
1,log_euclidean,-75.0,0.0,75.0,mid,0.7642592572719191
1,log_euclidean,-75.0,15.0,90.0,far,0.7241384589426696
1,log_euclidean,-75.0,30.0,105.0,far,0.8800613113610232
1,log_euclidean,-75.0,45.0,120.0,far,1.0193299454184508
1,log_euclidean,-75.0,60.0,135.0,far,0.986078373506487
1,log_euclidean,-75.0,75.0,150.0,far,0.8461258664218345
1,log_euclidean,-60.0,-45.0,15.0,near,0.4991279651794885
1,log_euclidean,-60.0,-30.0,30.0,near,0.7311274747709331
1,log_euclidean,-60.0,-15.0,45.0,mid,0.8216295920228358
1,log_euclidean,-60.0,0.0,60.0,mid,0.8037906807766922
1,log_euclidean,-60.0,15.0,75.0,mid,0.8429341517193742
1,log_euclidean,-60.0,30.0,90.0,far,1.0360131627807563
1,log_euclidean,-60.0,45.0,105.0,far,1.1708587454540353
1,log_euclidean,-60.0,60.0,120.0,far,1.147771969959183
1,log_euclidean,-60.0,75.0,135.0,far,1.0391392182516035
1,log_euclidean,-45.0,-30.0,15.0,near,0.4160640948189806
1,log_euclidean,-45.0,-15.0,30.0,near,0.5649944541453258
1,log_euclidean,-45.0,0.0,45.0,mid,0.5914473714172237
1,log_euclidean,-45.0,15.0,60.0,mid,0.6319442616692684
1,log_euclidean,-45.0,30.0,75.0,mid,0.7220131510997593
1,log_euclidean,-45.0,45.0,90.0,far,0.792600890890322
1,log_euclidean,-45.0,60.0,105.0,far,0.7714434636593986
1,log_euclidean,-45.0,75.0,120.0,far,0.6694707808608441
1,log_euclidean,-30.0,-15.0,15.0,near,0.23519798598206773
1,log_euclidean,-30.0,0.0,30.0,near,0.39677314156701254
1,log_euclidean,-30.0,15.0,45.0,mid,0.5589826515701192
1,log_euclidean,-30.0,30.0,60.0,mid,0.6458236497842761
1,log_euclidean,-30.0,45.0,75.0,mid,0.645218833785901
1,log_euclidean,-30.0,60.0,90.0,far,0.6525605864673187
1,log_euclidean,-30.0,75.0,105.0,far,0.5487484903920765
1,log_euclidean,-15.0,0.0,15.0,near,0.2877875938593741
1,log_euclidean,-15.0,15.0,30.0,near,0.5170034057635299
1,log_euclidean,-15.0,30.0,45.0,mid,0.6418121018578311
1,log_euclidean,-15.0,45.0,60.0,mid,0.6934580448891022
1,log_euclidean,-15.0,60.0,75.0,mid,0.7470253788043882
1,log_euclidean,-15.0,75.0,90.0,far,0.6210030674101399
1,log_euclidean,0.0,15.0,15.0,near,0.35503780217063186
1,log_euclidean,0.0,30.0,30.0,near,0.5575985721537481
1,log_euclidean,0.0,45.0,45.0,mid,0.6764050833388846
1,log_euclidean,0.0,60.0,60.0,mid,0.7665567942408893
1,log_euclidean,0.0,75.0,75.0,mid,0.6753866358721776
1,log_euclidean,15.0,30.0,15.0,near,0.29251288066391445
1,log_euclidean,15.0,45.0,30.0,near,0.5479010947896074
1,log_euclidean,15.0,60.0,45.0,mid,0.6387931971975092
1,log_euclidean,15.0,75.0,60.0,mid,0.5471307504935171
1,log_euclidean,30.0,45.0,15.0,near,0.33390986439996984
1,log_euclidean,30.0,60.0,30.0,near,0.43815607757437847
1,log_euclidean,30.0,75.0,45.0,mid,0.37976893022338276
1,log_euclidean,45.0,60.0,15.0,near,0.17961501148772646
1,log_euclidean,45.0,75.0,30.0,near,0.35597525049456913
1,log_euclidean,60.0,75.0,15.0,near,0.33861730997598927
1,airm,-75.0,-60.0,15.0,near,0.45743243289786745
1,airm,-75.0,-45.0,30.0,near,0.661668478283119
1,airm,-75.0,-30.0,45.0,mid,0.7645070702354942
1,airm,-75.0,-15.0,60.0,mid,0.8312419409083089
1,airm,-75.0,0.0,75.0,mid,0.840115173463354
1,airm,-75.0,15.0,90.0,far,0.7853727005514105
1,airm,-75.0,30.0,105.0,far,0.9341656301192982
1,airm,-75.0,45.0,120.0,far,1.0878401554791763
1,airm,-75.0,60.0,135.0,far,1.0465130309950623
1,airm,-75.0,75.0,150.0,far,0.9064520909638204
1,airm,-60.0,-45.0,15.0,near,0.5244310841313392
1,airm,-60.0,-30.0,30.0,near,0.777770831086574
1,airm,-60.0,-15.0,45.0,mid,0.8606972009613653
1,airm,-60.0,0.0,60.0,mid,0.8445030636384584
1,airm,-60.0,15.0,75.0,mid,0.8779358606105899
1,airm,-60.0,30.0,90.0,far,1.0660262027995175
1,airm,-60.0,45.0,105.0,far,1.2066067248070451
1,airm,-60.0,60.0,120.0,far,1.1787903369724548
1,airm,-60.0,75.0,135.0,far,1.0695404071762138
1,airm,-45.0,-30.0,15.0,near,0.43120856103499533
1,airm,-45.0,-15.0,30.0,near,0.5800344344653443
1,airm,-45.0,0.0,45.0,mid,0.6182146943364779
1,airm,-45.0,15.0,60.0,mid,0.6627711165111921
1,airm,-45.0,30.0,75.0,mid,0.7451342422795455
1,airm,-45.0,45.0,90.0,far,0.8127171320820344
1,airm,-45.0,60.0,105.0,far,0.7840803176555233
1,airm,-45.0,75.0,120.0,far,0.6813501527703493
1,airm,-30.0,-15.0,15.0,near,0.24235492831946417
1,airm,-30.0,0.0,30.0,near,0.43254329348692394
1,airm,-30.0,15.0,45.0,mid,0.6001840618892984
1,airm,-30.0,30.0,60.0,mid,0.6718310122547382
1,airm,-30.0,45.0,75.0,mid,0.6559249316198892
1,airm,-30.0,60.0,90.0,far,0.6564547740526416
1,airm,-30.0,75.0,105.0,far,0.5532290390859997
1,airm,-15.0,0.0,15.0,near,0.31560368621552387
1,airm,-15.0,15.0,30.0,near,0.5501238671904396
