model_seed,angle,row,column,value
2,30.0,1,2,-0.014017085256419587
2,30.0,1,3,-0.04375179015987124
2,30.0,2,0,-0.0231170291312235
2,30.0,2,1,-0.014017085256419587
2,30.0,2,2,0.27174718730551345
2,30.0,2,3,-0.10178311809188685
2,30.0,3,0,-0.024724276785738842
2,30.0,3,1,-0.04375179015987124
2,30.0,3,2,-0.10178311809188685
2,30.0,3,3,0.19444938813076568
2,45.0,0,0,0.14086638818652183
2,45.0,0,1,-0.016736763566050375
2,45.0,0,2,-0.007614225747353087
2,45.0,0,3,-0.02516006546550992
2,45.0,1,0,-0.016736763566050375
2,45.0,1,1,0.08173916587381048
2,45.0,1,2,-0.0064947785903588665
2,45.0,1,3,-0.05230198665622008
2,45.0,2,0,-0.007614225747353087
2,45.0,2,1,-0.0064947785903588665
2,45.0,2,2,0.23060891783291496
2,45.0,2,3,-0.10089899266438458
2,45.0,3,0,-0.02516006546550992
2,45.0,3,1,-0.05230198665622008
2,45.0,3,2,-0.10089899266438458
2,45.0,3,3,0.21372815965298592
2,60.0,0,0,0.11298612287913712
2,60.0,0,1,-0.01314332315675592
2,60.0,0,2,-0.008397898556039165
2,60.0,0,3,-0.010732371925001146
2,60.0,1,0,-0.01314332315675592
2,60.0,1,1,0.07976280226313998
2,60.0,1,2,-0.01210480615250385
2,60.0,1,3,-0.06243598991733091
2,60.0,2,0,-0.008397898556039165
2,60.0,2,1,-0.01210480615250385
2,60.0,2,2,0.21344366332107673
2,60.0,2,3,-0.0983486675589377
2,60.0,3,0,-0.010732371925001146
2,60.0,3,1,-0.06243598991733091
2,60.0,3,2,-0.0983486675589377
2,60.0,3,3,0.214578941307474
2,75.0,0,0,0.10805467189412525
2,75.0,0,1,-0.021747168622351234
2,75.0,0,2,0.004688947362604393
2,75.0,0,3,-0.01162294773934801
2,75.0,1,0,-0.021747168622351234
2,75.0,1,1,0.08270873639605895
2,75.0,1,2,-0.03882861864961761
2,75.0,1,3,-0.04599098666989785
2,75.0,2,0,0.004688947362604393
2,75.0,2,1,-0.03882861864961761
2,75.0,2,2,0.20505304852697312
2,75.0,2,3,-0.07326800127611699
2,75.0,3,0,-0.01162294773934801
2,75.0,3,1,-0.04599098666989785
2,75.0,3,2,-0.07326800127611699
2,75.0,3,3,0.17126645890603828
3,-75.0,0,0,0.15478711787629368
3,-75.0,0,1,0.04883187017147475
3,-75.0,0,2,0.022742707263174823
3,-75.0,0,3,0.017319021140059974
3,-75.0,1,0,0.04883187017147475
3,-75.0,1,1,0.12054455608661097
3,-75.0,1,2,0.03460430738560938
3,-75.0,1,3,-0.07595857469436082
3,-75.0,2,0,0.022742707263174823
3,-75.0,2,1,0.03460430738560938
3,-75.0,2,2,0.16301271626046365
3,-75.0,2,3,0.05317292058730659
3,-75.0,3,0,0.017319021140059974
3,-75.0,3,1,-0.07595857469436082
3,-75.0,3,2,0.05317292058730659
