model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
0,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,-0.014999165414441667,-0.029437050820507182,-0.0002812523620460234,640
0,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,0.005137957129367146,-1.796416584540027e-05,0.010409667277669503,640
0,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,-0.022727842002632358,-0.04043593449639119,-0.00569557645773461,640
0,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.04689917577375815,-0.053001549205099655,-0.040880452816286245,640
0,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,0.03616205507753335,0.01260134892364663,0.05885694767707127,640
0,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,-0.042724408152801464,-0.050978978392265034,-0.03396349114222902,640
0,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,0.01316970201395475,-0.012090352567222825,0.03903436112763569,640
0,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,-0.0817888432757031,-0.09142923611573502,-0.07154017850056872,640
0,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,0.01689531351102238,-0.0016239009971514393,0.03512859292058948,640
0,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,-0.03873027363119831,-0.0450895695473901,-0.03233819532753003,640
0,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,-0.006192738996279567,-0.02620812385664899,0.014605959627544334,640
0,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,-0.07173977961297225,-0.07978883779186585,-0.06390727291143056,640
0,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,-0.0073595393607394175,-0.011641678895668969,-0.003028981803699738,640
0,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.0029580546601030338,0.0018792762761941327,0.004052616697292782,640
0,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,0.01702327997882235,0.004552783863647704,0.029171734172577304,640
0,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.002116311152200684,-0.0005232650890982214,0.004795460031903584,640
0,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,-0.004737488557414428,-0.008008199939814291,-0.0016656133735921772,640
0,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,0.0012038890632594997,0.0001792846196842535,0.0021240408245861596,640
0,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.0018932664125433586,-0.009852693850025388,0.006448560496695898,640
0,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,0.0068051252518265245,0.00465483507507323,0.008976955596819866,640
1,r1_linear_vs_r0_mlp,trained,nominal,rho,0.13324639684707154,0.10357781927837952,0.16143487272448928,640
1,r1_linear_vs_r0_mlp,trained,nominal,stress,-0.08172629965189293,-0.09454323881009434,-0.06837168098898898,640
1,r1_linear_vs_r0_mlp,trained,functional,rho,0.11479292298438079,0.08297384034135125,0.14565208730188337,640
1,r1_linear_vs_r0_mlp,trained,functional,stress,-0.06717745105088999,-0.08126956221670018,-0.053115330612872956,640
1,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.08936678536650625,0.06535616171464455,0.11252162090137392,640
1,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.061849034209207045,-0.0713569594499015,-0.05091588867989427,640
1,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.08011081623851649,0.0537620662008445,0.10476772957785634,640
1,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.04906226161171725,-0.05941769994727471,-0.03750346267528689,640
1,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.14354577919131817,0.11470974330537108,0.17103008321897023,640
1,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.06550639238728923,-0.07783493386222898,-0.052658628574174846,640
1,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.1179413359092855,0.08906507582035463,0.14484710664710881,640
1,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.06938578115333056,-0.08176638219313498,-0.05609402985803352,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.06927568425805528,0.0452113892409978,0.09146104924065522,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.045382284775279225,-0.05528314326706481,-0.03513396210382696,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.049942466051429116,0.025721695591143186,0.07227033030967638,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.0472082647009561,-0.05690726594951322,-0.03702282269942076,640
1,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.12794276119439293,0.09998172587211807,0.15479365817382476,640
1,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.053548170857804965,-0.06400425371034568,-0.042433120794458316,640
1,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,0.13100178700155585,0.10357459141023882,0.15845455724044896,640
1,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.0585020561375739,-0.06907446499606738,-0.04677797142279399,640
1,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.06316075073078434,0.041459292540157504,0.08489311498271182,640
1,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.03478788552073135,-0.04419360586526347,-0.02573247771764645,640
