model_seed,method,source_index,scale,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preserved
0,d4_no_geo,1751,-0.25,0.00888204574584961,0.02020244672894478,-0.12607967853546143,1
0,d4_no_geo,1828,-0.25,-0.0015562179032713175,0.02904505655169487,0.003892749547958374,1
0,d4_no_geo,5372,-0.25,-0.00385051011107862,0.028745826333761215,0.0004526600241661072,1
0,d4_no_geo,3968,-0.25,-0.0010798368602991104,0.02685924433171749,-0.008813619613647461,1
0,d4_no_geo,5105,-0.25,-0.0034084697254002094,0.03023274801671505,-0.0014534592628479004,1
0,d4_no_geo,8811,-0.25,-0.021954575553536415,0.031522344797849655,0.0010470673441886902,1
0,d4_no_geo,2154,-0.25,0.0051230331882834435,0.008754138834774494,0.00132027268409729,1
0,d4_no_geo,8720,-0.25,0.006700378842651844,0.008978491649031639,0.0012539960443973541,1
0,d4_no_geo,9911,-0.25,-0.008981071412563324,0.011114921420812607,-3.0081719160079956e-05,1
0,d4_no_geo,6124,-0.25,8.636077836854383e-05,0.023572316393256187,-0.001416623592376709,1
0,d4_no_geo,293,-0.25,0.009523946791887283,0.012518368661403656,0.003943443298339844,1
0,d4_no_geo,3444,-0.25,-0.00042177640716545284,0.014262218028306961,-0.00012381374835968018,1
0,d4_no_geo,8353,-0.25,-0.01175631769001484,0.007907727733254433,0.00019788742065429688,1
0,d4_no_geo,9351,-0.25,0.013918725773692131,0.01562792807817459,0.00415492057800293,1
0,d4_no_geo,9087,-0.25,-0.00616068858653307,0.02714146487414837,0.0005793869495391846,1
0,d4_no_geo,9464,-0.25,0.005614640191197395,0.008003972470760345,0.0014882832765579224,1
0,d4_no_geo,5668,-0.25,0.006160122808068991,0.005191113334149122,3.57702374458313e-05,1
0,d4_no_geo,8284,-0.25,-0.008956575766205788,0.027916358783841133,0.0003701150417327881,1
0,d4_no_geo,2604,-0.25,-0.021569114178419113,0.02848432958126068,-0.0047182440757751465,1
0,d4_no_geo,8740,-0.25,0.0037082985509186983,0.009060787037014961,0.0013393312692642212,1
0,d4_no_geo,628,-0.25,0.0027434462681412697,0.022793110460042953,-0.0019903182983398438,1
0,d4_no_geo,2306,-0.25,-0.00388859654776752,0.012289738282561302,2.4139881134033203e-05,1
0,d4_no_geo,3016,-0.25,-0.013600008562207222,0.007436642423272133,-0.0003529265522956848,1
0,d4_no_geo,700,-0.25,-0.0015948470681905746,0.01689431630074978,0.007672473788261414,1
0,d4_no_geo,8792,-0.25,-0.004089848138391972,0.007943596690893173,-0.00018765032291412354,1
0,d4_no_geo,3392,-0.25,0.0035968965385109186,0.021564403548836708,-0.0008611083030700684,1
0,d4_no_geo,7478,-0.25,-0.020837707445025444,0.027443377301096916,-0.0033892691135406494,1
0,d4_no_geo,7115,-0.25,0.0038510714657604694,0.020011326298117638,0.0038245320320129395,1
0,d4_no_geo,2804,-0.25,-0.0050161839462816715,0.024381794035434723,-0.0037047863006591797,1
0,d4_no_geo,7379,-0.25,-0.003971213474869728,0.02819550596177578,-0.0008178949356079102,1
0,d4_no_geo,6112,-0.25,0.0009459055145271122,0.0240852702409029,-0.0008368492126464844,1
0,d4_no_geo,9951,-0.25,-0.009208649396896362,0.01083088293671608,3.3527612686157227e-07,1
0,d4_no_geo,5553,-0.25,0.010248969309031963,0.011700490489602089,0.007125295698642731,1
0,d4_no_geo,7830,-0.25,-0.009114093147218227,0.008677491918206215,0.0003646761178970337,1
0,d4_no_geo,5659,-0.25,-0.009597720578312874,0.009897314943373203,-0.0001626834273338318,1
0,d4_no_geo,3623,-0.25,-0.003897005459293723,0.015176493674516678,0.0004850029945373535,1
0,d4_no_geo,5770,-0.25,-0.0046057067811489105,0.0033418897073715925,-0.000277496874332428,1
0,d4_no_geo,4343,-0.25,-0.007974755950272083,0.012516984716057777,0.0001758784055709839,1
0,d4_no_geo,7074,-0.25,0.0017388204578310251,0.02637122943997383,-0.000743478536605835,1
0,d4_no_geo,8707,-0.25,0.008271618746221066,0.018371447920799255,0.0020165443420410156,1
0,d4_no_geo,3675,-0.25,0.013205507770180702,0.01721825636923313,0.0021082162857055664,1
0,d4_no_geo,555,-0.25,-0.006619865540415049,0.008104118518531322,-0.0012433528900146484,1
0,d4_no_geo,9642,-0.25,-0.0036696780007332563,0.02522892877459526,-0.0047228336334228516,1
0,d4_no_geo,2501,-0.25,-0.007659414783120155,0.0324893593788147,0.00045104511082172394,1
0,d4_no_geo,4257,-0.25,-0.001117207808420062,0.026858529075980186,-0.0008158087730407715,1
0,d4_no_geo,3064,-0.25,-0.004487378057092428,0.027227142825722694,-0.0022144615650177,1
0,d4_no_geo,1201,-0.25,0.011680330149829388,0.011625973507761955,-0.00015226751565933228,1
0,d4_no_geo,5388,-0.25,0.003091758117079735,0.02428891882300377,0.000762253999710083,1
0,d4_no_geo,5665,-0.25,-0.0028992476873099804,0.018832489848136902,-0.0012811869382858276,1
0,d4_no_geo,9255,-0.25,0.0014361860230565071,0.025539616122841835,8.890032768249512e-05,1
0,d4_no_geo,6269,-0.25,-0.0005924436845816672,0.020155806094408035,0.0004229992628097534,1
0,d4_no_geo,9216,-0.25,0.0009155921870842576,0.026089683175086975,-3.835558891296387e-05,1
0,d4_no_geo,1712,-0.25,-0.012199951335787773,0.011137563735246658,-0.00013775378465652466,1
0,d4_no_geo,612,-0.25,0.009914049878716469,0.01393456757068634,0.0034121274948120117,1
0,d4_no_geo,5539,0.0,0.0,0.0,0.0,1
0,d4_no_geo,6190,0.0,0.0,0.0,0.0,1
0,d4_no_geo,2445,0.0,0.0,0.0,0.0,1
0,d4_no_geo,4846,0.0,0.0,0.0,0.0,1
0,d4_no_geo,2634,0.0,0.0,0.0,0.0,1
0,d4_no_geo,3782,0.0,9.238381615261915e-09,9.238381615261915e-09,0.0,1
0,d4_no_geo,5255,0.0,0.0,0.0,0.0,1
0,d4_no_geo,4626,0.0,0.0,0.0,0.0,1
0,d4_no_geo,3512,0.0,0.0,0.0,0.0,1
0,d4_no_geo,3800,0.0,0.0,0.0,0.0,1
