model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r1_linear,797,0.0,0.0,0.0,8.198096423939205e-09,8.198096423939205e-09,0.12108949571847916,0.10601290315389633,1,0.0
1,r1_linear,8895,0.0,0.0,0.0,8.310047761028727e-09,8.310046872850307e-09,0.078352190554142,0.06630720943212509,1,0.0
1,r1_linear,7589,0.0,0.0,0.0,7.796920442615374e-09,7.796920442615374e-09,0.1205560639500618,0.09271186590194702,1,0.0
1,r1_linear,1128,0.0,0.0,0.0,8.612936142071703e-09,8.612936142071703e-09,0.10219083726406097,0.08811487257480621,1,0.0
1,r1_linear,601,0.0,0.0,0.0,8.519462468825623e-09,8.519463357004042e-09,0.10461785644292831,0.10023382306098938,1,0.0
1,r1_linear,6554,0.0,0.0,0.0,8.213523194910977e-09,8.213523194910977e-09,0.07441486418247223,0.08077646791934967,1,0.0
1,r1_linear,6755,0.0,0.0,0.0,8.469851486836433e-09,8.469851486836433e-09,0.11291579157114029,0.1051921397447586,1,0.0
1,r1_linear,1565,0.0,0.0,0.0,8.063205214625668e-09,8.063204326447249e-09,0.058151330798864365,0.06652320921421051,1,0.0
1,r1_linear,3175,0.0,0.0,0.0,8.395787176596059e-09,8.395787176596059e-09,0.09938985109329224,0.08051915466785431,1,0.0
1,r1_linear,6236,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.220835567840368e-09,8.220836456018787e-09,0.12136548012495041,0.10710075497627258,1,0.0
1,r1_linear,3219,0.0,0.0,0.0,8.080257352105491e-09,8.080257352105491e-09,0.05204879119992256,0.06292922794818878,1,0.0
1,r1_linear,6648,0.0,0.0,0.0,8.62639293330858e-09,8.62639293330858e-09,0.10853762924671173,0.09467070549726486,1,0.0
1,r1_linear,712,0.0,0.0,0.0,7.852646533024199e-09,7.852647421202619e-09,0.1141357496380806,0.09777267277240753,1,0.0
1,r1_linear,1318,0.0,0.0,0.0,8.593970868275846e-09,8.593970868275846e-09,0.11551158130168915,0.09980340301990509,1,0.0
1,r1_linear,7052,0.0,0.0,0.0,8.159295461496185e-09,8.159296349674605e-09,0.0641055554151535,0.06763318181037903,1,0.0
1,r1_linear,3963,0.0,0.0,0.0,8.532644812930812e-09,8.532644812930812e-09,0.10487043857574463,0.11224115639925003,1,0.0
1,r1_linear,6903,0.0,0.0,0.0,8.364282599870876e-09,8.364282599870876e-09,0.12282538414001465,0.10743696242570877,1,0.0
1,r1_linear,5499,0.0,0.0,0.0,8.585856470233466e-09,8.585856470233466e-09,0.1093621701002121,0.10137121379375458,1,0.0
1,r1_linear,430,0.0,0.0,0.0,8.522594185933485e-09,8.522594185933485e-09,0.11288054287433624,0.09487176686525345,1,0.0
1,r1_linear,5267,0.0,4.214684778958144e-08,4.2146844236867764e-08,8.502496484652511e-09,8.502496484652511e-09,0.09485653042793274,0.1018546000123024,1,1.043081283569336e-07
1,r1_linear,1051,0.0,2.107342389479072e-08,2.1073422118433882e-08,7.740259100330604e-09,7.740259100330604e-09,0.1249089390039444,0.09302140772342682,1,0.0
1,r1_linear,2268,0.0,0.0,0.0,8.496976455774075e-09,8.496976455774075e-09,0.11036977171897888,0.10130789130926132,1,0.0
1,r1_linear,6027,0.0,0.0,0.0,8.251294758565564e-09,8.251294758565564e-09,0.11752635985612869,0.10913274437189102,1,0.0
1,r1_linear,3337,0.0,0.0,0.0,8.592465405854455e-09,8.592465405854455e-09,0.10772915929555893,0.1000811830163002,1,0.0
1,r1_linear,3070,0.0,0.0,0.0,8.554602359822638e-09,8.554601471644219e-09,0.12340790778398514,0.10140940546989441,1,0.0
1,r1_linear,7058,0.0,0.0,0.0,7.946717950346738e-09,7.946717950346738e-09,0.04570813477039337,0.06336162984371185,1,0.0
1,r1_linear,9107,0.0,0.0,0.0,8.207889479194819e-09,8.207890367373238e-09,0.09329406917095184,0.07020553201436996,1,0.0
1,r1_linear,5049,0.0,2.9802322387695312e-08,2.9802322387695312e-08,8.4693541069214e-09,8.4693541069214e-09,0.11266820877790451,0.0996699333190918,1,0.0
1,r1_linear,4885,0.0,0.0,0.0,8.400116158213677e-09,8.400115270035258e-09,0.11537093669176102,0.09212764352560043,1,0.0
1,r1_linear,3403,0.0,0.0,0.0,7.921139300037794e-09,7.921138411859374e-09,0.050306614488363266,0.06976892054080963,1,0.0
1,r1_linear,7941,0.0,0.0,0.0,8.393153727581648e-09,8.393153727581648e-09,0.08697538077831268,0.09759888797998428,1,0.0
1,r1_linear,184,0.0,0.0,0.0,8.491949365918572e-09,8.491949365918572e-09,0.10573428124189377,0.0875048115849495,1,0.0
1,r1_linear,26,0.0,4.71216097253091e-08,4.712160617259542e-08,8.623032954346854e-09,8.623032954346854e-09,0.10967108607292175,0.09739977866411209,1,0.0
1,r1_linear,2528,0.0,0.0,0.0,7.841206794978461e-09,7.841207683156881e-09,0.1057891771197319,0.09247209131717682,1,0.0
1,r1_linear,1575,0.0,0.0,0.0,7.975996751952152e-09,7.975997640130572e-09,0.0908743366599083,0.0907214805483818,1,0.0
