method,angle,host,route_mass_mean,ablation_mean,ablation_median,positive_fraction,count
context_bottleneck_no_geo,15.0,2,0.07708896761687356,-0.006440827033657115,0.0005139587447047234,0.515625,256
context_bottleneck_no_geo,15.0,3,0.25093167868908495,0.05421966276480816,0.03982670046389103,0.65234375,256
context_bottleneck_no_geo,30.0,0,0.03378710306060384,-0.0014054838538868353,-0.00019057095050811768,0.44921875,256
context_bottleneck_no_geo,30.0,1,0.6515939509263262,0.1908545225232956,0.014966286718845367,0.515625,256
context_bottleneck_no_geo,30.0,2,0.07421827670623315,-0.0036041871571796946,-0.0010107643902301788,0.47265625,256
context_bottleneck_no_geo,30.0,3,0.24040066654561087,0.03981057382043218,0.028032606467604637,0.59765625,256
context_bottleneck_no_geo,45.0,0,0.03234424480388043,0.0005720778681279626,-0.00020135566592216492,0.46875,256
context_bottleneck_no_geo,45.0,1,0.6625775991706178,0.23766589681326877,-0.00024364888668060303,0.49609375,256
context_bottleneck_no_geo,45.0,2,0.07423451029899297,0.005687859531462891,-0.0015544071793556213,0.4609375,256
context_bottleneck_no_geo,45.0,3,0.23084364453097805,0.03091196576860966,0.020340224727988243,0.5546875,256
context_bottleneck_no_geo,60.0,0,0.03490104860247811,0.0002090790294460021,-0.00034396350383758545,0.45703125,256
context_bottleneck_no_geo,60.0,1,0.6539727564086206,0.25808201621839544,0.0452062264084816,0.515625,256
context_bottleneck_no_geo,60.0,2,0.08362223875519703,0.004922929576423485,-0.0043070316314697266,0.42578125,256
context_bottleneck_no_geo,60.0,3,0.22750395577168092,0.03729333409864921,0.020638679154217243,0.51953125,256
context_bottleneck_geo,-60.0,0,0.03801840349296981,0.010306988871889189,0.004118978977203369,0.5703125,256
context_bottleneck_geo,-60.0,1,0.5591359310201369,-0.039435462225810625,-0.03255796805024147,0.4453125,256
context_bottleneck_geo,-60.0,2,0.09084927834919654,0.028412303421646357,0.02061648666858673,0.57421875,256
context_bottleneck_geo,-60.0,3,0.3119963856297545,-0.008361819171113893,0.008558377623558044,0.51953125,256
context_bottleneck_geo,-45.0,0,0.03573511650574801,0.005260356265353039,0.0019319653511047363,0.58203125,256
context_bottleneck_geo,-45.0,1,0.5370495379902422,-0.04775732882262673,0.009348541498184204,0.51171875,256
context_bottleneck_geo,-45.0,2,0.08282376746137743,0.022171232179971412,0.006323575973510742,0.56640625,256
context_bottleneck_geo,-45.0,3,0.34439157572342083,0.02897921322437469,-0.0016433540731668472,0.5,256
context_bottleneck_geo,-30.0,0,0.03483830506775121,0.0015251161385094747,0.0004691481590270996,0.55859375,256
context_bottleneck_geo,-30.0,1,0.516427124850452,-0.01568157290603267,0.026875533163547516,0.52734375,256
context_bottleneck_geo,-30.0,2,0.07791136718878988,0.008337889790709596,0.003354748710989952,0.5390625,256
context_bottleneck_geo,-30.0,3,0.3708232049830258,0.06169800407951698,0.01155373826622963,0.5546875,256
context_bottleneck_geo,-15.0,0,0.034048062798319734,-0.0004373217961983755,-1.9498169422149658e-05,0.49609375,256
context_bottleneck_geo,-15.0,1,0.5165608956594951,0.037662011534848716,0.03371287137269974,0.53125,256
context_bottleneck_geo,-15.0,2,0.07531210270826705,-0.004520771086390596,0.0006007477641105652,0.515625,256
context_bottleneck_geo,-15.0,3,0.37407893635099754,0.1115651473228354,0.09144343063235283,0.67578125,256
context_bottleneck_geo,0.0,0,0.035430123443802586,-0.0003387825418030843,-5.619414150714874e-05,0.49609375,256
context_bottleneck_geo,0.0,1,0.5222242693998851,0.06700453119265148,0.026639088988304138,0.55078125,256
context_bottleneck_geo,0.0,2,0.07750135507740197,-0.007379016358754598,0.000684741884469986,0.51953125,256
context_bottleneck_geo,0.0,3,0.3648442550911568,0.10394683927006554,0.08326506987214088,0.69921875,256
context_bottleneck_geo,15.0,0,0.03243751471836731,-0.0005820966907776892,-4.848558455705643e-05,0.49609375,256
context_bottleneck_geo,15.0,1,0.5535750613780692,0.09870690209208988,0.011382251977920532,0.51953125,256
context_bottleneck_geo,15.0,2,0.07212723403426935,-0.005276870826492086,0.0008277641609311104,0.5234375,256
context_bottleneck_geo,15.0,3,0.34186018828768283,0.09938436610536883,0.0886845625936985,0.66015625,256
context_bottleneck_geo,30.0,0,0.03130897892606299,-0.0010810399980982766,-0.0003075934946537018,0.453125,256
context_bottleneck_geo,30.0,1,0.5801608728943393,0.1721551275550155,0.022506937384605408,0.54296875,256
context_bottleneck_geo,30.0,2,0.06998978571209591,-0.0017106584200519137,-0.0011838804930448532,0.484375,256
context_bottleneck_geo,30.0,3,0.31854035903234035,0.07605777859862428,0.07013767957687378,0.59765625,256
context_bottleneck_geo,45.0,0,0.03135139764890482,0.0011814744357252494,-0.0003619343042373657,0.4609375,256
context_bottleneck_geo,45.0,1,0.601283258816693,0.24018868439816288,0.02058444917201996,0.5234375,256
context_bottleneck_geo,45.0,2,0.07248572241587681,0.008004530129255727,-0.002190016210079193,0.4609375,256
context_bottleneck_geo,45.0,3,0.29487961856648326,0.05856434664747212,0.035264281556010246,0.5546875,256
context_bottleneck_geo,60.0,0,0.035750592341173615,0.0010961017178487964,-0.0007521063089370728,0.4375,256
