method,angle,source_index,host,route_mass,ablation_impact
context_bottleneck_no_geo,-45.0,9255,0,0.037534888833761215,0.0011097192764282227
context_bottleneck_no_geo,-45.0,6269,0,0.01307398360222578,0.016470253467559814
context_bottleneck_no_geo,-45.0,9216,0,0.025001106783747673,-0.00453341007232666
context_bottleneck_no_geo,-45.0,1712,0,0.10726099461317062,0.001418784260749817
context_bottleneck_no_geo,-45.0,612,0,0.037735097110271454,0.07193326950073242
context_bottleneck_no_geo,-45.0,6145,1,0.639009952545166,0.7757954597473145
context_bottleneck_no_geo,-45.0,3617,1,0.7099016308784485,-1.1607155799865723
context_bottleneck_no_geo,-45.0,9535,1,0.6823348999023438,-0.8883463144302368
context_bottleneck_no_geo,-45.0,9553,1,0.7591973543167114,-0.23416119813919067
context_bottleneck_no_geo,-45.0,1507,1,0.6937167048454285,-0.1087193489074707
context_bottleneck_no_geo,-45.0,2536,1,0.23580051958560944,-0.023236941546201706
context_bottleneck_no_geo,-45.0,8172,1,0.400202214717865,-0.13999612629413605
context_bottleneck_no_geo,-45.0,8319,1,0.6661148071289062,-0.23540914058685303
context_bottleneck_no_geo,-45.0,350,1,0.8301290273666382,0.15216195583343506
context_bottleneck_no_geo,-45.0,8329,1,0.7288969159126282,0.6838412880897522
context_bottleneck_no_geo,-45.0,2092,1,0.6525682210922241,-0.4854763150215149
context_bottleneck_no_geo,-45.0,8170,1,0.738231897354126,0.9494907855987549
context_bottleneck_no_geo,-45.0,5866,1,0.5705274343490601,0.042694091796875
context_bottleneck_no_geo,-45.0,1043,1,0.7504796385765076,0.3542335033416748
context_bottleneck_no_geo,-45.0,4124,1,0.45225974917411804,0.18525981903076172
context_bottleneck_no_geo,-45.0,870,1,0.44150567054748535,-1.2593178749084473
context_bottleneck_no_geo,-45.0,2415,1,0.4979032278060913,-0.2699544429779053
context_bottleneck_no_geo,-45.0,9970,1,0.6944258809089661,1.160292148590088
context_bottleneck_no_geo,-45.0,7839,1,0.7055755853652954,-1.115185022354126
context_bottleneck_no_geo,-45.0,7662,1,0.6518921852111816,0.3672322630882263
context_bottleneck_no_geo,-45.0,3554,1,0.6641383767127991,-1.5522879362106323
context_bottleneck_no_geo,-45.0,132,1,0.2756440341472626,1.1703944206237793
