model_seed,method,source_index,target_angle,donor_angle,gap,category,nominal_route_distance,functional_route_distance,prediction_preserved,true_log_prob_change
4,r0_mlp,3213,-75.0,15.0,90.0,far,0.26662662625312805,0.39056456089019775,0,0.04403114318847656
4,r0_mlp,8351,-75.0,15.0,90.0,far,0.14330676198005676,0.19571346044540405,1,-0.42085838317871094
4,r0_mlp,4655,-75.0,15.0,90.0,far,0.12849746644496918,0.1859334260225296,1,0.04985988140106201
4,r0_mlp,6249,-75.0,15.0,90.0,far,0.26287519931793213,0.3710913062095642,1,-0.06997108459472656
4,r0_mlp,8929,-75.0,15.0,90.0,far,0.25492265820503235,0.3443731367588043,0,-0.7697415351867676
4,r0_mlp,6036,-75.0,15.0,90.0,far,0.17768380045890808,0.17824769020080566,1,-0.001141667366027832
4,r0_mlp,1671,-75.0,15.0,90.0,far,0.07027813047170639,0.10316444933414459,1,-0.16723108291625977
4,r0_mlp,3885,-75.0,15.0,90.0,far,0.04896232485771179,0.06989176571369171,1,0.011481642723083496
4,r0_mlp,3768,-75.0,15.0,90.0,far,0.02096077799797058,0.002768025267869234,1,0.007391184568405151
4,r0_mlp,4069,-75.0,15.0,90.0,far,0.1577182114124298,0.23011265695095062,1,-0.12284588813781738
4,r0_mlp,9482,-75.0,15.0,90.0,far,0.2839682400226593,0.37972769141197205,1,-0.5076732635498047
4,r0_mlp,1037,-75.0,15.0,90.0,far,0.17538899183273315,0.25788551568984985,1,-0.008458614349365234
4,r0_mlp,9099,-75.0,15.0,90.0,far,0.06841383129358292,0.08848872780799866,1,-0.11663556098937988
4,r0_mlp,1129,-75.0,15.0,90.0,far,0.19069471955299377,0.27375632524490356,1,-0.1286764144897461
4,r0_mlp,2066,-75.0,15.0,90.0,far,0.17281757295131683,0.17038364708423615,1,-0.0032672882080078125
4,r0_mlp,8225,-75.0,15.0,90.0,far,0.09481323510408401,0.13738510012626648,1,-0.17638254165649414
4,r0_mlp,5603,-75.0,15.0,90.0,far,0.18626582622528076,0.2174662947654724,1,0.008587568998336792
4,r0_mlp,755,-75.0,15.0,90.0,far,0.13094156980514526,0.19070391356945038,1,-0.04117816686630249
4,r0_mlp,9587,-75.0,15.0,90.0,far,0.15054841339588165,0.22834810614585876,1,-0.053998470306396484
4,r0_mlp,544,-75.0,30.0,105.0,far,0.052416373044252396,0.07595935463905334,1,-0.059003591537475586
4,r0_mlp,4306,-75.0,30.0,105.0,far,0.2614314556121826,0.3615895211696625,1,-0.7709078788757324
4,r0_mlp,6410,-75.0,30.0,105.0,far,0.07069266587495804,0.10015323758125305,1,-0.02458953857421875
4,r0_mlp,6382,-75.0,30.0,105.0,far,0.2689498960971832,0.38364720344543457,0,-0.7468404769897461
4,r0_mlp,8949,-75.0,30.0,105.0,far,0.26381543278694153,0.3623400926589966,1,-0.0292203426361084
4,r0_mlp,9600,-75.0,30.0,105.0,far,0.1691862791776657,0.2405315637588501,0,-0.3233863115310669
4,r0_mlp,486,-75.0,30.0,105.0,far,0.06093345582485199,0.058284882456064224,1,0.030136585235595703
4,r0_mlp,109,-75.0,30.0,105.0,far,0.04951019957661629,0.04886069893836975,1,-0.009211719036102295
4,r0_mlp,2500,-75.0,30.0,105.0,far,0.10367468744516373,0.1226140558719635,1,-0.15933752059936523
4,r0_mlp,1413,-75.0,30.0,105.0,far,0.041969381272792816,0.039285529404878616,1,0.005305051803588867
4,r0_mlp,360,-75.0,30.0,105.0,far,0.13962934911251068,0.20926320552825928,1,-0.15233182907104492
4,r0_mlp,2139,-75.0,30.0,105.0,far,0.2611086666584015,0.37157607078552246,1,-0.33675289154052734
4,r0_mlp,9158,-75.0,30.0,105.0,far,0.18096263706684113,0.22269266843795776,1,0.10958445072174072
