model_seed,method,angle,host,mean_route_mass,host_specialization
4,r4_smooth_residual,-15.0,1,0.34367242455482483,0.0018309950828552246
4,r4_smooth_residual,-15.0,2,0.24639646708965302,0.00036203861236572266
4,r4_smooth_residual,-15.0,3,0.2150905877351761,0.0007953047752380371
4,r4_smooth_residual,0.0,0,0.19153371453285217,0.0016884207725524902
4,r4_smooth_residual,0.0,1,0.34591275453567505,0.0018309950828552246
4,r4_smooth_residual,0.0,2,0.24652795493602753,0.00036203861236572266
4,r4_smooth_residual,0.0,3,0.21602551639080048,0.0007953047752380371
4,r4_smooth_residual,15.0,0,0.1866590976715088,0.0016884207725524902
4,r4_smooth_residual,15.0,1,0.35441017150878906,0.0018309950828552246
4,r4_smooth_residual,15.0,2,0.24267777800559998,0.00036203861236572266
4,r4_smooth_residual,15.0,3,0.21625292301177979,0.0007953047752380371
4,r4_smooth_residual,30.0,0,0.1759473979473114,0.0016884207725524902
4,r4_smooth_residual,30.0,1,0.37736812233924866,0.0018309950828552246
4,r4_smooth_residual,30.0,2,0.23701636493206024,0.00036203861236572266
4,r4_smooth_residual,30.0,3,0.2096681296825409,0.0007953047752380371
4,r4_smooth_residual,45.0,0,0.16455279290676117,0.0016884207725524902
4,r4_smooth_residual,45.0,1,0.40413349866867065,0.0018309950828552246
4,r4_smooth_residual,45.0,2,0.2282567024230957,0.00036203861236572266
4,r4_smooth_residual,45.0,3,0.20305702090263367,0.0007953047752380371
4,r4_smooth_residual,60.0,0,0.15403389930725098,0.0016884207725524902
4,r4_smooth_residual,60.0,1,0.4323977530002594,0.0018309950828552246
4,r4_smooth_residual,60.0,2,0.22171111404895782,0.00036203861236572266
4,r4_smooth_residual,60.0,3,0.1918572187423706,0.0007953047752380371
4,r4_smooth_residual,75.0,0,0.15144625306129456,0.0016884207725524902
4,r4_smooth_residual,75.0,1,0.4426884651184082,0.0018309950828552246
4,r4_smooth_residual,75.0,2,0.22249403595924377,0.00036203861236572266
4,r4_smooth_residual,75.0,3,0.18337124586105347,0.0007953047752380371
4,r5_smooth_residual_continuity,-75.0,0,0.21825487911701202,0.0031354427337646484
4,r5_smooth_residual_continuity,-75.0,1,0.2621592581272125,4.45246696472168e-05
4,r5_smooth_residual_continuity,-75.0,2,0.26864585280418396,0.006805241107940674
4,r5_smooth_residual_continuity,-75.0,3,0.2509400546550751,0.00014734268188476562
4,r5_smooth_residual_continuity,-60.0,0,0.23263387382030487,0.0031354427337646484
4,r5_smooth_residual_continuity,-60.0,1,0.2588103413581848,4.45246696472168e-05
4,r5_smooth_residual_continuity,-60.0,2,0.2569599747657776,0.006805241107940674
4,r5_smooth_residual_continuity,-60.0,3,0.2515958249568939,0.00014734268188476562
4,r5_smooth_residual_continuity,-45.0,0,0.2627759873867035,0.0031354427337646484
4,r5_smooth_residual_continuity,-45.0,1,0.25581127405166626,4.45246696472168e-05
4,r5_smooth_residual_continuity,-45.0,2,0.22390317916870117,0.006805241107940674
4,r5_smooth_residual_continuity,-45.0,3,0.2575095295906067,0.00014734268188476562
4,r5_smooth_residual_continuity,-30.0,0,0.29188427329063416,0.0031354427337646484
4,r5_smooth_residual_continuity,-30.0,1,0.2582486569881439,4.45246696472168e-05
4,r5_smooth_residual_continuity,-30.0,2,0.1868956983089447,0.006805241107940674
4,r5_smooth_residual_continuity,-30.0,3,0.26297134160995483,0.00014734268188476562
4,r5_smooth_residual_continuity,-15.0,0,0.30634549260139465,0.0031354427337646484
